Day,Timestamp,"San Francisco 
docks_available",San Francisco  Mean TemperatureF,San Francisco  MAX TemperatureF,San Francisco  MIN TemperatureF
2014/3/1,1.39631E+12,15,29.63,16.67,63
2014/3/2,1.3964E+12,15,29.63,16.67,63
2014/3/3,1.39648E+12,15,29.63,16.67,63
2014/3/4,1.39657E+12,15,29.63,16.67,63
2014/3/5,1.39666E+12,15,29.63,16.67,63
2014/3/6,1.39674E+12,15,29.63,16.67,63
2014/3/7,1.39683E+12,15,29.63,16.67,63
2014/3/8,1.39692E+12,15,29.63,16.67,63
2014/3/9,1.397E+12,14,29.63,16.67,63
2014/3/10,1.39709E+12,14,29.63,16.67,63
2014/3/11,1.39717E+12,14,29.63,16.67,63
2014/3/12,1.39726E+12,14,29.63,16.67,63
2014/3/13,1.39735E+12,14,29.63,16.67,63
2014/3/14,1.39743E+12,14,29.63,16.67,63
2014/3/15,1.39752E+12,14,29.63,16.67,63
2014/3/16,1.39761E+12,14,29.63,16.67,63
2014/3/17,1.39769E+12,14,29.63,16.67,63
2014/3/18,1.39778E+12,14,29.63,16.67,63
2014/3/19,1.39787E+12,14,29.63,16.67,63
2014/3/20,1.39795E+12,14,29.63,16.67,63
2014/3/21,1.39804E+12,14,29.63,16.67,63
2014/3/22,1.39812E+12,14,29.63,16.67,63
2014/3/23,1.39821E+12,14,29.63,16.67,63
2014/3/24,1.3983E+12,14,29.63,16.67,63
2014/3/25,1.39838E+12,14,29.63,16.67,63
2014/3/26,1.39847E+12,14,29.63,16.67,63
2014/3/27,1.39856E+12,14,29.63,16.67,63
2014/3/28,1.39864E+12,14,29.63,16.67,63
2014/3/29,1.39873E+12,14,29.63,16.67,63
2014/3/30,1.39882E+12,14,29.63,16.67,63
2014/3/31,1.3989E+12,14,29.63,16.67,63
2014/4/1,1.39899E+12,14,29.63,16.67,63
2014/4/2,1.39908E+12,14,29.63,16.67,63
2014/4/3,1.39916E+12,15,29.63,16.67,63
2014/4/4,1.39925E+12,15,29.63,16.67,63
2014/4/5,1.39933E+12,15,29.63,16.67,63
2014/4/6,1.39942E+12,15,29.63,16.67,63
2014/4/7,1.39951E+12,15,29.63,16.67,63
2014/4/8,1.39959E+12,15,29.63,16.67,63
2014/4/9,1.39968E+12,15,29.63,16.67,63
2014/4/10,1.39977E+12,15,29.63,16.67,63
2014/4/11,1.39985E+12,15,29.63,16.67,63
2014/4/12,1.39994E+12,15,29.63,16.67,63
2014/4/13,1.40003E+12,15,29.63,16.67,63
2014/4/14,1.40011E+12,15,29.63,16.67,63
2014/4/15,1.4002E+12,15,29.63,16.67,63
2014/4/16,1.40028E+12,15,29.63,16.67,63
2014/4/17,1.40037E+12,15,29.63,16.67,63
2014/4/18,1.40046E+12,14,29.63,16.67,63
2014/4/19,1.40054E+12,14,29.63,16.67,63
2014/4/20,1.40063E+12,14,29.63,16.67,63
2014/4/21,1.40072E+12,14,29.63,16.67,63
2014/4/22,1.4008E+12,14,29.63,16.67,63
2014/4/23,1.40089E+12,14,29.63,16.67,63
2014/4/24,1.40098E+12,14,29.63,16.67,63
2014/4/25,1.40106E+12,14,29.63,16.67,63
2014/4/26,1.40115E+12,14,29.63,16.67,63
2014/4/27,1.40124E+12,14,29.63,16.67,63
2014/4/28,1.40132E+12,15,29.63,16.67,63
2014/4/29,1.40141E+12,15,29.63,16.67,63
2014/4/30,1.40149E+12,15,29.63,16.67,63
2014/5/1,1.40158E+12,15,29.63,16.67,63
2014/5/2,1.40167E+12,15,29.63,16.67,63
2014/5/3,1.40175E+12,14,29.63,16.67,63
2014/5/4,1.40184E+12,14,29.63,16.67,63
2014/5/5,1.40193E+12,14,29.63,16.67,63
2014/5/6,1.40201E+12,14,29.63,16.67,63
2014/5/7,1.4021E+12,14,29.63,16.67,63
2014/5/8,1.40219E+12,15,29.63,16.67,63
2014/5/9,1.40227E+12,15,29.63,16.67,63
2014/5/10,1.40236E+12,15,29.63,16.67,63
2014/5/11,1.40244E+12,15,29.63,16.67,63
2014/5/12,1.40253E+12,15,29.63,16.67,63
2014/5/13,1.40262E+12,14,29.63,16.67,63
2014/5/14,1.4027E+12,14,29.63,16.67,63
2014/5/15,1.40279E+12,14,29.63,16.67,63
2014/5/16,1.40288E+12,14,29.63,16.67,63
2014/5/17,1.40296E+12,14,29.63,16.67,63
2014/5/18,1.40305E+12,15,29.63,16.67,63
2014/5/19,1.40314E+12,15,29.63,16.67,63
2014/5/20,1.40322E+12,15,29.63,16.67,63
2014/5/21,1.40331E+12,15,29.63,16.67,63
2014/5/22,1.4034E+12,15,29.63,16.67,63
2014/5/23,1.40348E+12,15,29.63,16.67,63
2014/5/24,1.40357E+12,15,29.63,16.67,63
2014/5/25,1.40365E+12,15,29.63,16.67,63
2014/5/26,1.40374E+12,15,29.63,16.67,63
2014/5/27,1.40383E+12,15,29.63,16.67,63
2014/5/28,1.40391E+12,15,29.63,16.67,63
2014/5/29,1.404E+12,15,29.63,16.67,63
2014/5/30,1.40409E+12,15,29.63,16.67,63
2014/5/31,1.40417E+12,15,29.63,16.67,63
2014/6/1,1.40426E+12,15,29.63,16.67,63
2014/6/2,1.40435E+12,14,29.63,16.67,63
2014/6/3,1.40443E+12,14,29.63,16.67,63
2014/6/4,1.40452E+12,14,29.63,16.67,63
2014/6/5,1.4046E+12,14,29.63,16.67,63
2014/6/6,1.40469E+12,15,29.63,16.67,63
2014/6/7,1.40478E+12,15,29.63,16.67,63
2014/6/8,1.40486E+12,15,29.63,16.67,63
2014/6/9,1.40495E+12,15,29.63,16.67,63
2014/6/10,1.40504E+12,15,29.63,16.67,63
2014/6/11,1.40512E+12,14,29.63,16.67,63
2014/6/12,1.40521E+12,14,29.63,16.67,63
2014/6/13,1.4053E+12,14,29.63,16.67,63
2014/6/14,1.40538E+12,14,29.63,16.67,63
2014/6/15,1.40547E+12,15,29.63,16.67,63
2014/6/16,1.40556E+12,15,29.63,16.67,63
2014/6/17,1.40564E+12,15,29.63,16.67,63
2014/6/18,1.40573E+12,15,29.63,16.67,63
2014/6/19,1.40581E+12,15,29.63,16.67,63
2014/6/20,1.4059E+12,15,29.63,16.67,63
2014/6/21,1.40599E+12,15,29.63,16.67,63
2014/6/22,1.40607E+12,15,29.63,16.67,63
2014/6/23,1.40616E+12,15,29.63,16.67,63
2014/6/24,1.40625E+12,15,29.63,16.67,63
2014/6/25,1.40633E+12,15,29.63,16.67,63
2014/6/26,1.40642E+12,15,29.63,16.67,63
2014/6/27,1.40651E+12,15,29.63,16.67,63
2014/6/28,1.40659E+12,15,29.63,16.67,63
2014/6/29,1.40668E+12,15,29.63,16.67,63
2014/6/30,1.40676E+12,15,29.63,16.67,63
2014/7/1,1.40685E+12,15,29.63,16.67,63
2014/7/2,1.40694E+12,15,29.63,16.67,63
2014/7/3,1.40702E+12,15,29.63,16.67,63
2014/7/4,1.40711E+12,15,29.63,16.67,63
2014/7/5,1.4072E+12,15,29.63,16.67,63
2014/7/6,1.40728E+12,15,29.63,16.67,63
2014/7/7,1.40737E+12,15,29.63,16.67,63
2014/7/8,1.40746E+12,15,29.63,16.67,63
2014/7/9,1.40754E+12,15,29.63,16.67,63
2014/7/10,1.40763E+12,15,29.63,16.67,63
2014/7/11,1.40772E+12,15,29.63,16.67,63
2014/7/12,1.4078E+12,15,29.63,16.67,63
2014/7/13,1.40789E+12,15,29.63,16.67,63
2014/7/14,1.40797E+12,15,29.63,16.67,63
2014/7/15,1.40806E+12,15,29.63,16.67,63
2014/7/16,1.40815E+12,15,29.63,16.67,63
2014/7/17,1.40823E+12,15,29.63,16.67,63
2014/7/18,1.40832E+12,15,29.63,16.67,63
2014/7/19,1.40841E+12,15,29.63,16.67,63
2014/7/20,1.40849E+12,14,29.63,16.67,63
2014/7/21,1.40858E+12,14,29.63,16.67,63
2014/7/22,1.40867E+12,14,29.63,16.67,63
2014/7/23,1.40875E+12,14,29.63,16.67,63
2014/7/24,1.40884E+12,14,29.63,16.67,63
2014/7/25,1.40892E+12,14,29.63,16.67,63
2014/7/26,1.40901E+12,14,29.63,16.67,63
2014/7/27,1.4091E+12,14,29.63,16.67,63
2014/7/28,1.40918E+12,14,29.63,16.67,63
2014/7/29,1.40927E+12,14,29.63,16.67,63
2014/7/30,1.40936E+12,15,29.63,16.67,63
2014/7/31,1.40944E+12,15,29.63,16.67,63
2014/8/1,1.40953E+12,15,29.63,16.67,63
2014/8/2,1.40962E+12,15,29.63,16.67,63
2014/8/3,1.4097E+12,15,29.63,16.67,63
2014/8/4,1.40979E+12,15,29.63,16.67,63
2014/8/5,1.40988E+12,15,29.63,16.67,63
2014/8/6,1.40996E+12,15,29.63,16.67,63
2014/8/7,1.41005E+12,15,29.63,16.67,63
2014/8/8,1.41013E+12,14,29.63,16.67,63
2014/8/9,1.41022E+12,14,29.63,16.67,63
2014/8/10,1.41031E+12,14,29.63,16.67,63
2014/8/11,1.41039E+12,14,29.63,16.67,63
2014/8/12,1.41048E+12,14,29.63,16.67,63
2014/8/13,1.41057E+12,14,29.63,16.67,63
2014/8/14,1.41065E+12,14,29.63,16.67,63
2014/8/15,1.41074E+12,14,29.63,16.67,63
2014/8/16,1.41083E+12,14,29.63,16.67,63
2014/8/17,1.41091E+12,15,29.63,16.67,63
2014/8/18,1.411E+12,15,29.63,16.67,63
2014/8/19,1.41108E+12,15,29.63,16.67,63
2014/8/20,1.41117E+12,15,29.63,16.67,63
2014/8/21,1.41126E+12,15,29.63,16.67,63
2014/8/22,1.41134E+12,14,29.63,16.67,63
2014/8/23,1.41143E+12,14,29.63,16.67,63
2014/8/24,1.41152E+12,14,29.63,16.67,63
2014/8/25,1.4116E+12,14,29.63,16.67,63
2014/8/26,1.41169E+12,14,29.63,16.67,63
2014/8/27,1.41178E+12,14,29.63,16.67,63
2014/8/28,1.41186E+12,14,29.63,16.67,63
2014/8/29,1.41195E+12,14,29.63,16.67,63
2014/8/30,1.41204E+12,14,29.63,16.67,63
2014/8/31,1.41212E+12,14,29.63,16.67,63
2014/9/1,1.41221E+12,14,29.63,16.67,63
2014/9/2,1.41229E+12,14,29.63,16.67,63
2014/9/3,1.41238E+12,14,29.63,16.67,63
2014/9/4,1.41247E+12,14,29.63,16.67,63
2014/9/5,1.41255E+12,14,29.63,16.67,63
2014/9/6,1.41264E+12,14,29.63,16.67,63
2014/9/7,1.41273E+12,14,29.63,16.67,63
2014/9/8,1.41281E+12,14,29.63,16.67,63
2014/9/9,1.4129E+12,14,29.63,16.67,63
2014/9/10,1.41299E+12,14,29.63,16.67,63
2014/9/11,1.41307E+12,15,29.63,16.67,63
2014/9/12,1.41316E+12,15,29.63,16.67,63
2014/9/13,1.41324E+12,15,29.63,16.67,63
2014/9/14,1.41333E+12,15,29.63,16.67,63
2014/9/15,1.41342E+12,15,29.63,16.67,63
2014/9/16,1.4135E+12,14,29.63,16.67,63
2014/9/17,1.41359E+12,14,29.63,16.67,63
2014/9/18,1.41368E+12,14,29.63,16.67,63
2014/9/19,1.41376E+12,14,29.63,16.67,63
2014/9/20,1.41385E+12,14,29.63,16.67,63
2014/9/21,1.41394E+12,15,29.63,16.67,63
2014/9/22,1.41402E+12,15,29.63,16.67,63
2014/9/23,1.41411E+12,15,29.63,16.67,63
2014/9/24,1.4142E+12,15,29.63,16.67,63
2014/9/25,1.41428E+12,15,29.63,16.67,63
2014/9/26,1.41437E+12,15,29.63,16.67,63
2014/9/27,1.41445E+12,15,29.63,16.67,63
2014/9/28,1.41454E+12,15,29.63,16.67,63
2014/9/29,1.41463E+12,15,29.63,16.67,63
2014/9/30,1.41471E+12,15,29.63,16.67,63
2014/10/1,1.4148E+12,15,29.63,16.67,63
2014/10/2,1.41489E+12,15,29.63,16.67,63
2014/10/3,1.41497E+12,15,29.63,16.67,63
2014/10/4,1.41506E+12,15,29.63,16.67,63
2014/10/5,1.41515E+12,15,29.63,16.67,63
2014/10/6,1.41523E+12,14,29.63,16.67,63
2014/10/7,1.41532E+12,14,29.63,16.67,63
2014/10/8,1.4154E+12,14,29.63,16.67,63
2014/10/9,1.41549E+12,14,29.63,16.67,63
2014/10/10,1.41558E+12,14,29.63,16.67,63
2014/10/11,1.41566E+12,14,29.63,16.67,63
2014/10/12,1.41575E+12,14,29.63,16.67,63
2014/10/13,1.41584E+12,14,29.63,16.67,63
2014/10/14,1.41592E+12,14,29.63,16.67,63
2014/10/15,1.41601E+12,14,29.63,16.67,63
2014/10/16,1.4161E+12,14,29.63,16.67,63
2014/10/17,1.41618E+12,14,29.63,16.67,63
2014/10/18,1.41627E+12,14,29.63,16.67,63
2014/10/19,1.41636E+12,14,29.63,16.67,63
2014/10/20,1.41644E+12,14,29.63,16.67,63
2014/10/21,1.41653E+12,14,29.63,16.67,63
2014/10/22,1.41661E+12,14,29.63,16.67,63
2014/10/23,1.4167E+12,14,29.63,16.67,63
2014/10/24,1.41679E+12,14,29.63,16.67,63
2014/10/25,1.41687E+12,14,29.63,16.67,63
2014/10/26,1.41696E+12,14,29.63,16.67,63
2014/10/27,1.41705E+12,14,29.63,16.67,63
2014/10/28,1.41713E+12,14,29.63,16.67,63
2014/10/29,1.41722E+12,14,29.63,16.67,63
2014/10/30,1.41731E+12,14,29.63,16.67,63
2014/10/31,1.41739E+12,15,29.63,16.67,63
2014/11/1,1.41748E+12,15,29.63,16.67,63
2014/11/2,1.41756E+12,15,29.63,16.67,63
2014/11/3,1.41765E+12,15,29.63,16.67,63
2014/11/4,1.41774E+12,15,29.63,16.67,63
2014/11/5,1.41782E+12,15,29.63,16.67,63
2014/11/6,1.41791E+12,15,29.63,16.67,63
2014/11/7,1.418E+12,15,29.63,16.67,63
2014/11/8,1.41808E+12,15,29.63,16.67,63
2014/11/9,1.41817E+12,15,29.63,16.67,63
2014/11/10,1.41826E+12,15,29.63,16.67,63
2014/11/11,1.41834E+12,15,29.63,16.67,63
2014/11/12,1.41843E+12,15,29.63,16.67,63
2014/11/13,1.41852E+12,15,29.63,16.67,63
2014/11/14,1.4186E+12,15,29.63,16.67,63
2014/11/15,1.41869E+12,15,29.63,16.67,63
2014/11/16,1.41877E+12,15,29.63,16.67,63
2014/11/17,1.41886E+12,15,29.63,16.67,63
2014/11/18,1.41895E+12,15,29.63,16.67,63
2014/11/19,1.41903E+12,15,29.63,16.67,63
2014/11/20,1.41912E+12,15,29.63,16.67,63
2014/11/21,1.41921E+12,15,29.63,16.67,63
2014/11/22,1.41929E+12,15,29.63,16.67,63
2014/11/23,1.41938E+12,15,29.63,16.67,63
2014/11/24,1.41947E+12,15,29.63,16.67,63
2014/11/25,1.41955E+12,15,29.63,16.67,63
2014/11/26,1.41964E+12,15,29.63,16.67,63
2014/11/27,1.41972E+12,15,29.63,16.67,63
2014/11/28,1.41981E+12,15,29.63,16.67,63
2014/11/29,1.4199E+12,15,29.63,16.67,63
2014/11/30,1.41998E+12,14,29.63,16.67,63
2014/12/1,1.42007E+12,14,29.63,16.67,63
2014/12/2,1.42016E+12,14,29.63,16.67,63
2014/12/3,1.42024E+12,14,29.63,16.67,63
2014/12/4,1.42033E+12,14,29.63,16.67,63
2014/12/5,1.42042E+12,14,29.63,16.67,63
2014/12/6,1.4205E+12,14,29.63,16.67,63
2014/12/7,1.42059E+12,14,29.63,16.67,63
2014/12/8,1.42068E+12,14,29.63,16.67,63
2014/12/9,1.42076E+12,14,29.63,16.67,63
2014/12/10,1.42085E+12,14,29.63,16.67,63
2014/12/11,1.42093E+12,14,29.63,16.67,63
2014/12/12,1.42102E+12,14,29.63,16.67,63
2014/12/13,1.42111E+12,14,29.63,16.67,63
2014/12/14,1.42119E+12,14,29.63,16.67,63
2014/12/15,1.42128E+12,14,29.63,16.67,63
2014/12/16,1.42137E+12,14,29.63,16.67,63
2014/12/17,1.42145E+12,14,29.63,16.67,63
2014/12/18,1.42154E+12,14,29.63,16.67,63
2014/12/19,1.42163E+12,14,29.63,16.67,63
2014/12/20,1.42171E+12,14,29.63,16.67,63
2014/12/21,1.4218E+12,14,29.63,16.67,63
2014/12/22,1.42188E+12,14,29.63,16.67,63
2014/12/23,1.42197E+12,14,29.63,16.67,63
2014/12/24,1.42206E+12,14,29.63,16.67,63
2014/12/25,1.42214E+12,15,29.63,16.67,63
2014/12/26,1.42223E+12,15,29.63,16.67,63
2014/12/27,1.42232E+12,15,29.63,16.67,63
2014/12/28,1.4224E+12,15,29.63,16.67,63
2014/12/29,1.42249E+12,15,29.63,16.67,63
2014/12/30,1.42258E+12,14,29.63,16.67,63
2014/12/31,1.42266E+12,14,29.63,16.67,63
