全區騎乘紀錄筆數(次數)(去除36筆超過24小時),年約會員(Subcriber)全區騎乘紀錄次數,短期會員(Customer)全區騎乘紀錄次數,全區騎乘紀錄筆數(次數)(超時收費筆數),年約會員(Subcriber)次數,短期會員(Customer)次數,超過免費時段但低於60分鐘收費,超過免費時段但低於24小時收費,超過免費時段並超過一天收費
99,68,31,8,0,8,12,674,1500
80,44,36,23,0,23,48,852,1500
17,7,10,7,0,7,12,158,4500
5,1,4,4,0,4,0,267,3000
7,5,2,2,0,2,0,183,0
69,66,3,7,7,0,0,98,0
658,631,27,12,2,10,12,302,0
2163,2092,71,16,3,13,24,593,0
1489,1432,57,24,11,13,40,513,4500
1115,1017,98,51,7,44,60,1018,3000
547,418,129,62,5,57,80,1400,0
695,548,147,72,16,56,116,1284,3000
944,736,208,88,16,72,164,1517,3000
895,709,186,64,6,58,120,1087,3000
686,457,229,89,3,86,160,1130,1500
680,485,195,83,8,75,180,1968,1500
1803,1588,215,100,16,84,220,1740,3000
2403,2219,184,72,15,57,140,868,3000
1615,1421,194,72,7,65,128,2104,6000
702,584,118,38,4,34,76,1072,4500
439,320,119,30,2,28,36,1029,0
329,250,79,30,2,28,56,690,1500
287,201,86,34,2,32,80,772,4500
193,133,60,11,1,10,8,998,1500
