x1,x2,x3,x4,x5
4.9774,4.99985,4.95995,4.9696,4.9821
4.98305,5.0123,4.98875,4.96145,4.98625
4.98545,5.0055,4.96335,4.9851,4.98565
4.9813,4.9751,4.9835,4.9812,4.976
4.9845,4.9819,4.98535,4.9905,4.9907
4.97645,5.00685,4.99875,4.9787,4.9893
4.9783,4.96635,4.987,4.98595,4.99295
4.97475,5.0118,4.9797,4.9841,4.98835
4.97215,4.986,4.9966,4.99485,4.9848
4.98695,4.9966,4.96355,4.9788,4.98375
4.9761,5.03065,4.97265,4.99005,4.9843
4.9922,4.9751,4.9611,4.978,4.99325
4.97605,4.9752,4.99265,4.9809,4.9848
4.98095,4.99265,4.9975,4.9967,4.99175
4.97895,4.99255,4.9754,4.98495,4.9844
4.97615,4.98445,4.98185,4.9842,4.98435
4.9838,4.9987,4.96715,4.97995,4.9852
4.9765,4.9746,4.9721,4.98265,4.98445
4.9839,5.0194,4.9728,4.98285,4.9912
4.9813,5.00645,4.9818,5.0101,4.98825
4.97145,4.9711,4.97405,4.97625,4.98595
4.98025,5.01225,4.9931,4.9864,4.989
4.97375,5.0254,4.9849,4.9957,4.9865
4.98035,4.9625,4.99265,4.98175,4.98415
4.98195,4.96855,4.98075,4.9616,4.98075
4.98195,4.96855,4.98075,4.9616,4.98075
4.98305,4.9819,4.98825,4.9885,4.98865
4.98155,4.9866,4.97755,5.00335,4.9828
4.98335,4.9869,4.9717,4.97035,4.98605
4.97565,4.9825,4.9813,4.9776,4.9822
4.97845,4.9839,4.9628,5.0006,4.98465
4.97675,4.9874,4.97865,4.9788,4.9775
4.97825,5.01495,4.9706,4.98025,4.98215
4.98425,5.00665,4.97395,4.9886,4.9799
4.9734,4.983,4.9797,4.97225,4.9816
4.9793,4.98875,4.96035,4.9718,4.97985
4.98975,5.0229,4.967,4.9769,4.99095
4.9744,4.96195,4.97825,4.9711,4.9823
4.9768,4.97245,4.9601,4.99145,4.98595
4.96885,4.96805,4.9711,4.9829,4.98255
4.97555,4.9602,4.9956,4.97155,4.97665
4.9813,4.98675,4.9608,4.97915,4.9842
4.9839,4.9926,4.97635,4.99155,4.98535
4.9848,4.9892,4.97865,4.9949,4.98605
4.9767,4.974,4.9728,4.97355,4.9864
4.9871,5.0251,4.95635,4.9628,4.9849
4.97435,4.98535,4.99855,4.9921,4.9743
4.9732,4.9879,4.9861,4.9851,4.99165
4.9725,4.9788,4.97635,4.98295,4.98075
4.97745,4.9644,4.9855,4.96705,4.9829
4.9763,4.9801,4.97275,4.9912,4.9879
4.97205,4.96945,4.9723,4.98235,4.9816
4.97915,4.97805,4.97645,4.97645,4.9885
4.9705,4.9779,4.9842,4.9701,4.97955
4.9826,5.0265,4.96825,4.98115,4.99035
4.9837,5.00735,4.9776,4.9762,4.98915
4.97695,5.00745,5.01655,4.99825,4.97205
4.9828,4.9697,4.9824,4.97475,4.9794
4.97835,4.9712,4.9684,4.97735,4.9882
4.98155,4.98925,4.97735,4.9869,4.98945
4.9794,4.97425,4.97145,4.9673,4.9903
4.973,4.9727,4.97535,4.98785,4.98375
4.9739,5.0052,4.97525,4.97145,4.9707
4.978,4.97785,4.9813,4.98975,4.9877
4.9706,4.97155,4.9633,4.9813,4.9804
4.9787,4.99025,4.9719,4.98025,4.98915
4.9828,5.0238,4.9823,4.98145,4.9852
4.9899,5.02865,4.97545,4.9769,4.9894
4.9806,5.00455,4.97925,4.9893,4.99945
4.9808,4.9628,4.9759,4.97825,5.00485
4.98705,4.97745,4.97885,4.98125,4.99395
4.98055,4.9923,4.976,4.9831,4.98125
4.9849,4.98995,4.9772,4.9927,4.9909
4.97555,4.984,4.9834,4.97755,4.98495
4.98065,5.0245,4.96125,4.9894,4.98565
4.98935,5.0188,4.9986,5.0247,4.9882
4.9932,5.01295,4.97895,4.9828,4.9864
4.97975,4.9889,4.9903,4.97465,4.98365
4.9829,4.9868,4.9795,4.98465,4.992
4.9848,4.9965,4.9633,4.97825,4.9934
4.98665,4.9817,4.9788,4.9899,4.9902
4.9789,4.99595,4.98145,4.96845,4.9934
4.9885,4.9735,4.98175,4.9827,4.98555
4.9881,4.98715,4.9714,4.99125,4.9903
4.97875,4.9784,4.98055,4.98825,4.98615
4.98135,4.97325,4.9633,4.9803,4.9944
4.9797,4.99315,4.9776,4.9924,4.9916
4.98145,4.97,4.97735,4.9743,4.97655
4.98715,4.98855,4.96855,4.97775,4.98825
4.98395,4.988,4.99695,5.00505,4.98865
4.9831,4.9848,4.97195,4.9883,4.99185
4.9822,4.98905,4.9761,5.0039,4.98665
4.9756,4.967,4.98085,5.0024,4.99305
4.9821,4.9744,4.96945,4.97965,4.987
9.01215,7.268,7.41705,7.79415,10.0423
4.9818,4.975,4.9931,4.9784,4.9884
4.9734,4.96755,4.9792,4.9802,4.98465
4.9846,4.9951,4.9841,4.97015,4.9928
4.9927,4.9758,4.97245,4.96685,4.98325
4.9955,5.00635,4.9761,4.97285,4.98935
4.98585,5.00565,4.9835,4.97295,4.9866
4.98085,5.01505,5.001,4.9936,5.00045
4.98465,5.0432,4.97975,4.9721,4.99375
4.9835,4.9996,4.97755,4.9872,5.0077
4.9809,5.0114,4.9756,4.97655,4.9805
4.9811,4.96665,4.9659,4.96845,4.98135
4.9822,5.02825,4.9815,4.9928,4.98695
4.98635,4.9981,4.98225,5.00815,4.9878
4.9749,4.9628,4.97495,4.98635,4.98485
4.9848,4.99115,4.98015,4.9843,4.9853
4.97965,4.97285,4.9749,4.98275,4.9905
4.98305,5.01525,4.9777,4.98355,4.9833
4.98045,4.9841,4.9859,4.97665,4.9819
4.9829,4.97845,4.96425,4.9611,4.98425
5.03835,5.00835,4.9676,4.99185,4.99185
4.9786,4.97005,4.9871,5.0036,4.9864
4.9665,4.99335,4.97845,4.9756,4.996
4.97965,4.9831,4.97415,4.98785,4.98105
4.9817,4.99785,4.97525,4.99115,4.9862
4.9807,4.9903,4.99315,4.9894,4.9826
4.9832,5.00555,4.97045,4.98105,4.98925
4.97905,4.99235,4.9757,4.9742,4.9863
4.97595,4.9774,4.97795,4.97745,4.98405
4.9884,4.99165,4.96775,4.9766,4.9834
4.98365,4.96815,4.97255,4.9812,4.98115
4.97925,4.9696,4.97845,4.97795,4.987
4.9722,4.989,4.98735,4.98555,4.9902
4.98715,5.03355,4.98735,4.98425,5.00305
4.9807,4.9984,4.98115,4.98225,4.9846
4.9792,4.9893,4.97935,4.99065,4.99095
4.9862,4.9766,4.98075,4.9984,4.98765
4.986,4.9726,4.977,4.98565,4.98365
4.97375,5.01035,4.9748,4.9771,4.98615
4.9946,5.02035,4.96925,4.98045,4.9899
4.97265,5.00875,4.97185,4.97835,5.0034
4.99015,4.97605,4.9774,4.978,4.99365
4.9817,4.9761,4.96805,4.9776,4.99685
4.9725,4.97305,4.9779,4.9935,4.9829
4.98845,5.0375,4.9796,4.9719,4.99055
4.9859,5.0094,4.9761,5.0022,4.98645
4.9873,4.98125,4.9711,4.9903,4.9849
4.9887,4.98385,4.97385,4.97825,4.9867
4.9876,5.0066,4.97265,4.97635,4.98935
4.9803,4.98905,4.99215,4.9947,4.9842
4.9733,4.9699,5.0021,4.986,4.9815
4.98365,5.03265,4.98235,4.98565,4.98915
4.97745,4.99185,4.97905,4.99095,4.9894
4.9912,5.02195,4.96595,4.9903,4.9909
4.9788,5.02095,5.0014,4.9873,5.0154
4.98375,4.98355,4.97775,4.9859,4.9948
4.98915,5.0053,4.97925,4.97135,4.99215
4.9923,5.00955,4.98135,4.9937,4.98735
4.9741,4.9709,4.98805,4.98125,4.9904
4.9888,4.986,4.9714,4.974,4.9903
4.99425,5.0255,4.99565,5.0073,4.9895
4.98085,4.9894,4.969,4.97725,4.99365
4.9811,5.0275,4.96925,4.9778,4.9819
4.9897,5.00215,4.9646,4.96175,4.9849
4.98975,5.0383,4.96955,4.9812,4.9916
4.9791,4.9824,4.9915,4.98515,4.9879
4.98665,5.0021,4.9607,4.9712,4.99345
4.98795,5.02595,4.97755,4.99365,4.98665
4.98045,4.9738,4.9808,4.978,4.98475
4.98895,4.9701,4.9991,5.0011,4.9911
4.98255,4.97695,4.9883,4.96995,5.00995
4.9812,4.9916,4.9866,4.98755,4.9955
4.9876,5.00605,4.99445,4.9793,4.9921
4.98995,4.9774,4.9863,4.99225,4.9902
4.99765,4.96945,4.96785,4.99335,4.9849
4.98175,4.97205,4.9767,4.9708,4.98195
4.9828,4.96915,4.98805,4.9897,4.9854
4.9913,5.0431,4.97155,4.9786,4.9957
4.97575,5.00255,4.96115,4.9686,4.9788
4.9743,4.963,4.98035,4.9785,4.9722
4.97305,4.9861,4.99415,4.9758,4.98485
4.9705,4.9615,4.98285,4.97965,4.98655
4.98595,4.9881,4.9665,4.9779,4.9888
4.9824,4.9954,4.97825,4.98155,4.98135
4.97175,4.9678,4.97515,4.9874,4.9844
4.97255,4.98895,4.97515,4.9742,4.99055
4.97585,4.97075,4.96355,4.96825,4.97765
4.9832,4.9944,4.98255,4.99665,4.9827
4.98095,4.98765,4.96465,4.97975,4.9846
4.9731,4.97605,4.959,4.9803,4.98285
4.96895,4.97305,4.95995,4.97685,4.98575
4.97805,4.96225,4.9784,4.9882,4.981
4.9693,4.96745,4.9771,4.982,4.9811
4.9698,4.9853,4.98655,4.979,4.9779
4.96545,4.98035,4.97055,4.97725,4.9797
4.974,4.9617,4.9851,4.98675,4.9814
4.98085,5.02255,4.9561,4.966,4.98135
4.9712,4.99065,4.98145,4.9654,5.0125
4.98415,5.02485,4.97665,4.994,4.98275
4.97665,5.00415,4.96395,4.96355,4.9807
4.9719,4.9805,4.98555,4.9806,4.9798
4.9777,4.97475,4.971,4.97255,4.98805
4.98015,5.0031,4.9739,4.99335,5.0165
4.9749,4.9837,4.9613,4.9688,4.97805
4.9837,4.9979,4.9752,4.96805,4.98285
4.97395,4.9842,4.9734,4.9715,4.97635
4.97755,4.99875,4.9711,4.9893,5.0048
4.9692,4.98885,4.9574,4.976,4.99345
4.9814,4.9808,4.97385,4.97835,4.9805
4.97265,4.96375,4.9956,4.994,4.9744
4.9815,4.99195,4.9584,4.9778,4.98985
4.98455,4.9659,4.9697,4.9845,4.98545
4.97475,4.96865,4.9699,4.97465,4.97855
4.9735,4.96465,4.99785,4.9863,4.9784
4.97505,4.9687,4.9743,4.98035,4.97725
4.9733,4.96475,4.97125,4.9697,4.9952
4.98125,4.99395,4.97045,4.99015,4.98455
4.97525,4.99215,4.9598,4.97605,4.99175
4.97685,4.9961,4.9706,4.9659,4.96275
4.98445,4.96845,4.9747,4.9733,4.99595
4.9733,4.98715,4.9932,4.9798,4.9834
4.9882,4.9837,4.97185,4.97205,5.0006
4.98155,4.9673,4.96055,4.9601,4.98615
4.97725,4.99725,5.00395,4.9937,4.99465
4.99205,4.9975,4.994,4.99515,4.9839
4.98475,4.98885,4.98025,4.9742,4.9816
4.96715,4.9844,4.98135,4.98765,4.97555
4.9833,4.9879,4.974,4.9784,4.98655
4.9833,5.0118,4.9858,4.98125,4.9909
4.9815,4.97165,4.9777,4.9675,4.98875
4.9865,4.9733,4.96755,4.98215,4.9782
4.98335,4.99095,4.9794,4.98175,4.98935
4.9767,5.0256,4.96255,4.9753,4.9752
4.9824,4.9846,4.9733,4.98715,4.99015
4.97315,4.9797,4.9803,4.9801,4.98415
4.98395,4.9843,4.97665,4.97285,4.98215
4.98035,5.03265,4.96875,4.9663,4.98605
4.9755,4.98715,4.9612,4.97575,4.98015
4.97625,4.99325,4.98355,4.9836,4.9792
4.9823,5.0127,4.9892,4.9701,4.98465
4.98095,4.97205,4.97645,4.9726,4.97915
4.96955,4.9809,4.9899,4.98735,4.98835
4.9725,4.9664,4.9706,4.97255,4.9749
4.97445,4.9813,4.9667,4.96825,4.9712
4.97725,4.98115,4.9902,4.9678,4.98055
4.9793,4.9656,4.97295,5.0019,4.9844
4.98275,4.9978,4.97385,4.98655,4.9868
4.97,4.98035,4.9786,4.98615,4.98455
4.983,4.9911,4.98505,5.0043,4.9831
4.97345,5.00475,4.97815,4.98235,4.9993
4.98235,5.00135,4.963,4.97475,4.98815
4.97385,4.97425,4.9749,5.00035,4.97265
4.9759,4.98575,4.96345,4.9735,4.97955
4.97535,4.99515,4.9733,4.97715,4.9794
4.98355,4.9783,4.97655,4.98045,4.98285
4.9798,5.01835,4.95935,4.9693,4.9816
4.97485,4.97975,4.9859,4.98145,4.9761
4.986,5.0013,4.9674,4.9837,4.9814
4.98885,4.98875,4.96945,4.98035,4.9877
4.98765,5.00205,4.9676,4.9704,4.9854
4.97885,4.9862,4.9856,5.0002,4.973
4.97925,4.97355,4.9744,4.97415,4.98395
4.97185,5.01235,4.97905,4.97825,4.9803
4.97855,4.9839,4.9814,4.98635,4.9896
4.9849,4.9771,4.9758,4.98645,5.0067
4.9706,4.96535,4.97505,4.9735,4.98315
4.97485,4.98485,4.98185,4.974,4.9794
4.97775,5.0071,4.9737,4.97305,4.9854
4.9776,4.9876,4.9671,4.9772,4.9919
4.9806,4.99155,4.97275,4.97505,4.98785
4.98425,4.9904,4.9627,4.96665,4.9853
4.97265,4.96665,4.9741,4.9882,4.9865
4.981,5.0157,4.96725,4.97315,4.99045