キА放,跋M棘隹掸计,~|Ω计,u戳|Ω计
22.2,16,6,10
20,84,75,9
20.6,90,86,4
21.1,83,77,6
19.4,72,58,14
19.4,29,24,5
18.9,22,7,15
17.2,66,63,3
18.3,82,79,3
22.2,83,74,9
22.8,94,84,10
22.2,38,37,1
21.7,23,14,9
20.6,26,12,14
20.6,87,80,7
20.6,77,70,7
21.7,84,80,4
22.2,65,61,4
21.1,90,67,23
21.1,32,23,9
20,7,3,4
21.7,84,76,8
20.6,93,92,1
21.7,63,62,1
18.3,62,59,3
18.3,67,59,8
19.4,34,16,18
19.4,24,17,7
18.3,85,83,2
18.3,59,54,5
21.1,62,55,7
22.2,76,65,11
23.9,72,66,6
23.9,24,12,12
23.3,33,13,20
22.2,78,75,3
20.6,79,64,15
21.1,64,62,2
18.3,84,79,5
17.8,68,60,8
18.3,35,22,13
21.7,20,15,5
21.7,59,54,5
17.8,73,70,3
18.9,60,57,3
17.2,63,60,3
17.2,53,48,5
18.9,17,16,1
18.3,13,7,6
16.1,65,64,1
15,63,60,3
15.6,69,68,1
18.3,68,61,7
18.3,70,66,4
17.8,39,15,24
15.6,49,22,27
14.4,62,62,
15.6,67,67,
17.8,72,68,4
20,77,76,1
14.4,41,40,1
13.3,27,21,6
12.8,20,14,6
13.3,76,73,3
13.9,61,59,2
16.7,77,75,2
16.7,89,84,5
15.6,67,60,7
16.7,54,15,39
16.7,36,19,17
15.6,62,60,2
15,43,42,1
16.1,74,73,1
15.6,73,66,7
15,47,45,2
13.9,22,16,6
12.8,25,14,11
11.7,55,52,3
12.8,73,71,2
15,51,49,2
12.8,61,61,
12.8,71,65,6
13.9,26,8,18
12.8,14,10,4
11.1,60,56,4
12.2,66,61,5
13.3,33,32,1
13.3,13,7,6
11.1,16,10,6
13.3,17,15,2
13.9,6,4,2
15,66,66,
14.4,28,27,1
15.6,18,18,
16.1,50,48,2
15.6,53,53,
16.7,29,22,7
14.4,15,10,5
15.6,72,67,5
14.4,60,54,6
14.4,48,48,
13.9,5,5,
10.6,11,11,
10,20,19,1
11.1,11,10,1
11.7,31,31,
12.8,25,25,
11.1,27,27,
13.3,54,53,1
12.8,28,28,
14.4,11,10,1
15,9,6,3
14.4,36,36,
15,28,28,
11.7,15,15,
10.6,6,3,3
9.4,16,15,1
6.7,7,3,4
8.3,11,11,
10,24,19,5
7.2,19,18,1
7.8,27,17,10
5.6,5,4,1
5.6,17,13,4
6.1,21,20,1
7.2,19,14,5
8.9,46,45,1
10.6,71,60,11
12.2,50,49,1
11.7,47,45,2
13.9,48,45,3
12.2,33,21,12
10,15,11,4
10.6,49,49,
12.2,72,71,1
10.6,61,60,1
10.6,46,43,3
11.7,57,49,8
12.2,15,6,9
12.8,13,8,5
11.7,23,19,4
10.6,54,54,
10,50,46,4
8.3,69,66,3
11.1,50,44,6
13.3,33,29,4
10.6,8,5,3
11.1,59,57,2
15,65,65,
13.3,72,70,2
12.2,70,67,3
13.9,62,61,1
13.9,17,12,5
11.7,12,11,1
12.8,60,60,
15.6,63,61,2
15,63,56,7
15.6,81,68,13
16.1,28,28,
17.2,11,9,2
16.1,9,7,2
15,50,50,
12.2,69,67,2
12.8,63,56,7
14.4,76,69,7
16.7,67,58,9
15.6,46,17,29
15.6,19,11,8
15.6,28,24,4
13.9,62,59,3
15,65,55,10
15.6,64,61,3
16.1,87,52,35
14.4,42,11,31
13.3,12,3,9
12.2,63,63,
10.6,55,50,5
12.2,54,52,2
14.4,56,54,2
13.9,49,47,2
11.1,19,7,12
11.1,19,7,12
11.1,45,42,3
11.1,58,54,4
12.8,53,51,2
15,62,62,
14.4,61,54,7
15.6,28,17,11
15.6,22,16,6
16.7,58,47,11
16.7,52,45,7
16.7,44,44,
16.7,90,78,12
18.3,70,61,9
22.2,21,13,8
20,34,24,10
17.2,67,65,2
16.1,65,55,10
15.6,62,56,6
17.8,70,62,8
15.6,62,45,17
16.1,23,13,10
17.2,15,5,10
15.6,47,44,3
15,68,64,4
16.7,51,43,8
20.6,63,62,1
17.2,78,60,18
17.8,18,9,9
17.2,14,11,3
16.1,65,56,9
15,54,48,6
13.3,63,59,4
13.9,55,48,7
15,58,50,8
12.2,22,11,11
11.7,18,10,8
11.7,61,61,
12.2,35,32,3
13.3,57,52,5
13.9,53,52,1
14.4,60,48,12
14.4,31,15,16
17.2,7,4,3
14.4,59,56,3
13.9,57,53,4
15.6,50,38,12
17.8,57,53,4
18.3,53,46,7
17.2,23,14,9
15.6,24,19,5
16.7,64,55,9
16.7,70,68,2
16.7,61,55,6
16.7,65,61,4
15,60,58,2
14.4,33,24,9
15.6,24,11,13
20,59,55,4
16.7,55,54,1
16.7,57,46,11
20.6,72,59,13
21.7,48,36,12
17.2,23,15,8
16.1,30,12,18
14.4,55,55,
15.6,72,63,9
15.6,59,45,14
12.2,53,53,
16.7,58,51,7
16.1,18,10,8
16.1,19,8,11
14.4,60,51,9
13.3,74,63,11
14.4,84,69,15
16.1,46,43,3
15,54,44,10
15,25,18,7
15.6,25,18,7
15.6,57,55,2
15.6,63,60,3
16.1,47,45,2
16.7,72,71,1
16.1,54,49,5
16.7,25,15,10
16.1,40,16,24
17.2,47,35,12
17.2,65,64,1
18.3,52,52,
16.7,70,66,4
16.7,59,47,12
17.2,20,5,15
17.2,11,6,5
18.3,65,61,4
17.8,47,45,2
17.2,73,59,14
17.8,71,69,2
18.9,64,59,5
19.4,30,18,12
21.7,40,4,36
24.4,63,55,8
22.8,66,59,7
20,57,50,7
21.7,79,67,12
22.2,57,45,12
22.2,25,16,9
18.3,16,8,8
16.7,65,64,1
18.3,64,56,8
18.9,79,68,11
17.8,67,61,6
18.9,57,51,6
20,31,14,17
18.3,24,6,18
17.2,71,65,6
18.9,61,60,1
20,70,65,5
23.3,56,54,2
22.8,51,49,2
20.6,53,20,33
20,54,15,39
20.6,61,45,16
25,65,52,13
25,53,52,1
21.7,49,45,4
22.2,30,20,10
21.7,29,6,23
21.7,11,9,2
21.1,57,54,3
20.6,60,54,6
19.4,68,60,8
20,61,57,4
19.4,61,51,10
19.4,35,21,14
20.6,44,19,25
20.6,51,42,9
19.4,75,66,9
22.2,70,61,9
22.2,65,58,7
21.1,71,58,13
20.6,27,9,18
25,36,18,18
24.4,62,55,7
20.6,65,61,4
20,67,61,6
18.3,72,62,10
19.4,68,53,15
19.4,19,14,5
21.1,20,17,3
22.2,73,67,6
25,73,71,2
25,83,61,22
22.2,65,62,3
21.7,58,52,6
21.7,24,8,16
21.1,25,10,15
20.6,65,58,7
19.4,57,48,9
20.6,58,52,6
21.1,61,59,2
22.2,62,49,13
20.6,47,26,21
20,23,16,7
21.1,64,57,7
21.7,54,49,5
20.6,61,59,2
22.2,59,54,5
22.2,39,36,3
24.4,33,15,18
27.8,20,12,8
25,77,72,5
21.1,58,54,4
20.6,56,55,1
20.6,81,57,24
21.1,62,53,9
21.1,14,11,3
20.6,15,9,6
21.1,59,56,3
21.1,67,63,4
22.8,65,64,1
25.6,61,58,3
26.7,54,53,1
22.2,11,6,5
21.1,33,11,22
22.2,47,45,2
